date-time,path,dung-luong(kb),thoi-gian(s),ngon-ngu,path,so-tu,so-cau,so-tu,so-cau,algorithm_summary,processing Time,predict text classification,R1-Recall,R1-Precision,R1-F1-score,R2-Recall,R2-Precision,R2-F1-score,Rl-Recall,Rl-Precision,Rl-F1-score
20230620_081154, vi/11.mp4,4339,59.67, vi, vi/11_vi.txt,163,5,88,2, luhn,9.88774991, the_thao,0.540816327,1,0.70198675,0.52,1,0.684210522,0.540816327,1,0.70198675
20230620_081208, vi/11.mp4,4339,59.67, vi, vi/11_vi.txt,163,5,67,2, edmundson,8.708631277, the_thao,0.5,1,0.666666662,0.413333333,0.984126984,0.58215962,0.5,1,0.666666662
20230620_081220, vi/11.mp4,4339,59.67, vi, vi/11_vi.txt,163,5,38,2, kl,8.910562277, the_thao,0.316326531,1,0.480620151,0.246666667,1,0.395721922,0.316326531,1,0.480620151
20230620_081232, vi/12.mp4,3048,41.84, vi, vi/12_vi.txt,143,2,143,2, lexrank,27.70602536, phap_luat,0.989010989,1,0.994475133,0.992424242,1,0.996197714,0.989010989,1,0.994475133
20230620_081303, vi/12.mp4,3048,41.84, vi, vi/12_vi.txt,143,2,143,2, textrank,9.166805506, phap_luat,0.989010989,1,0.994475133,0.992424242,1,0.996197714,0.989010989,1,0.994475133
20230620_081315, vi/12.mp4,3048,41.84, vi, vi/12_vi.txt,143,2,143,2, lsa,8.103880882, phap_luat,0.989010989,1,0.994475133,0.992424242,1,0.996197714,0.989010989,1,0.994475133
20230620_081326, vi/12.mp4,3048,41.84, vi, vi/12_vi.txt,143,2,143,2, luhn,8.541805744, phap_luat,0.989010989,1,0.994475133,0.992424242,1,0.996197714,0.989010989,1,0.994475133
20230620_081338, vi/12.mp4,3048,41.84, vi, vi/12_vi.txt,143,2,143,2, edmundson,8.199578047, phap_luat,0.989010989,1,0.994475133,0.992424242,1,0.996197714,0.989010989,1,0.994475133
20230620_081350, vi/12.mp4,3048,41.84, vi, vi/12_vi.txt,143,2,143,2, kl,7.965975761, phap_luat,0.989010989,1,0.994475133,0.992424242,1,0.996197714,0.989010989,1,0.994475133
20230620_081401, vi/13.mp4,3046,84.87, vi, vi/13_vi.txt,236,9,69,2, lexrank,52.27956009, the_gioi,0.340277778,1,0.507772017,0.297297297,1,0.45833333,0.340277778,1,0.507772017
20230620_081456, vi/13.mp4,3046,84.87, vi, vi/13_vi.txt,236,9,69,2, textrank,9.322473049, the_gioi,0.340277778,1,0.507772017,0.297297297,1,0.45833333,0.340277778,1,0.507772017
20230620_081509, vi/13.mp4,3046,84.87, vi, vi/13_vi.txt,236,9,62,2, lsa,10.30079913, the_gioi,0.340277778,1,0.507772017,0.265765766,0.983333333,0.418439713,0.340277778,1,0.507772017
20230620_081522, vi/13.mp4,3046,84.87, vi, vi/13_vi.txt,236,9,69,2, luhn,9.863250971, the_gioi,0.340277778,1,0.507772017,0.297297297,1,0.45833333,0.340277778,1,0.507772017
